"Reference"," Quantity"," Value","price [Kc]","price total","farnell","case"," Datasheet"
"C1 C10 C3 ",3,"4u7","2,6","7,8","https://cz.farnell.com/taiyo-yuden/emk212b7475kg-t/cap-4-7-f-16v-10-x7r-0805/dp/2112841","SMD 0805",
"C12 C13 ",2,"220u",16,32,"https://cz.farnell.com/avx/tajd107k010rnj/cap-100-f-10v-10-2917-reel/dp/2217319","EIA-7343-20",
"C14 C15 ",2,"2pF","0,67","1,34","https://cz.farnell.com/multicomp/mc0603n2r0c500ct/cap-2pf-50v-c0g-np0-0603/dp/1759043RL","SMD 0805",
"C11 C2 C4 ",3,"100n","0,6","1,8","https://cz.farnell.com/multicomp/mcu0805r104kct/cap-0-1-f-50v-10-x7r-0805/dp/9406387","SMD 0805",
"C6 C7 C8 C9 ",4,"100n","0,6","2,4","https://cz.farnell.com/multicomp/mc0603b104m250ct/cap-0-1-f-25v-20-x7r-0603/dp/2627428","SMD 0805",
"D1 D2 ",2,"Shottky","1,48","2,96","https://cz.farnell.com/taiwan-semiconductor/b0520lw-rhg/diode-rectif-20v-0-5a-sod123/dp/1863141","SOD-123",
"D5 ",1,"LED","0,3","0,3","ebay","SMD 0805",
"D6 ",1,"LED_MATRIX_8x8","70",70," https://www.ges.cz/cz/spl-32-GES06600358.html","LED_MATRIX_8x8_60.2mmx60.2mm",
"J1 J2 J4 J5 J6 J7 J8 J9 ",8,"Conn_01x05","0,7375","5,9","https://www.ges.cz/cz/pls-40s-GES06600276.html","Pin_Hdr_1x05_2.54mm",
,,,,0,,,
"J14 ",1,"Conn_01x02","0,3","0,3","https://www.ges.cz/cz/pls-40r1-GES06614710.html","Pin_Hdr_1x02_2.54mm_angled_handsolder",
"J15 ",1,"Conn_01x04","0,6","0,6","https://www.ges.cz/cz/pls-40r1-GES06614710.html","Pin_Hdr_1x04_2.54mm_angled_handsolder",
"J3 ",1,"USB_OTG",6,6,"https://cz.farnell.com/multicomp/mc001009/micro-usb-type-b-receptacle-smt/dp/2506104?st=micro%20usb","USB_Micro-B",
"Q1 ",1,"BSS138","1,71","1,71","https://cz.farnell.com/nexperia/bss138p-215/mosfet-n-ch-60v-0-36a-sot23/dp/1859849?st=bss138","SOT-23",
"Q2 ",1,"IRLML6402","3,7","3,7","https://cz.farnell.com/infineon/irlml6402trpbf/mosfet-p-ch-20v-3-7a-sot-23/dp/9103503?st=IRLML6402","SOT-23",
"R14 R2 ",2,"220k",,0,,"SMD 0805",
"R15 R17 ",2,"R",,0,,"SMD 0805",
"R16 ",1,"820k",,0,,"SMD 0805",
"R3 ",1,"470",,0,,"SMD 0805",
"R1 R13 R4 ",3,"10k",,0,,"SMD 0805",
"R5 ",1,"1k",,0,,"SMD 0805",
"SW1 SW2 SW3 ",3,"SW_Push","1,6666666667","5,0000000001","lcsc","switch_K2-1112SA-A4SW-01",
,,,,0,,,
"U1 ",1,"	
MIC2091-1YM5-TR","3,4","3,4","https://cz.farnell.com/microchip/mic2091-1ym5-tr/power-switch-100ma-sot23-5/dp/2509914RL?st=mic2091","SOT-23",
"U2 ",1,"STM32F070CBTx",40,40,"provided by badger","LQFP-48_7x7mm_Pitch0.5mm",
"U3 ",1,"74HC595","3,7","3,7","https://cz.farnell.com/on-semiconductor/mc74hc595adtr2g/ic-sm-logic-74hc-register/dp/1607848?st=74HC595","SO-16-N","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf"
"U4 ",1,"TBD62783A(replaced by TD62783AFG)",12,12,"https://www.ebay.com/itm/10pcs-NEW-TD62783AFG-SOP-18-TOSHIBA/282239141886","SOIC-18W_7.5x11.6mm_Pitch1.27mm","http://toshiba.semicon-storage.com/info/docget.jsp?did=30523&prodName=TBD62783APG"
"U5 ",1,"TLC5916",24,24,"https://cz.farnell.com/texas-instruments/tlc5916id/ic-led-driver-linear-16-soic/dp/1755247?st=TLC5916#","SO-16-N",
"Y1 ",1,"Resonator",10,10,,"CSTCE_G",
"Y2 ",1,"ABS07-120-32.768kHz-T",10,10,,"crystal_ABS07-120-xx","~"
,,,,"244,9100000001",,,
,,,"inc vat","296,3411000001",,,
